ID,Nom,Département
22001,ALLINEUC,COTES_D_ARMOR
22002,ANDEL,COTES_D_ARMOR
22003,AUCALEUC,COTES_D_ARMOR
22004,BEGARD,COTES_D_ARMOR
22005,BELLE-ISLE-EN-TERRE,COTES_D_ARMOR
22006,BERHET,COTES_D_ARMOR
22008,BOBITAL,COTES_D_ARMOR
22009,LE BODEO,COTES_D_ARMOR
22011,BOQUEHO,COTES_D_ARMOR
22012,LA BOUILLIE,COTES_D_ARMOR
22013,BOURBRIAC,COTES_D_ARMOR
22014,BOURSEUL,COTES_D_ARMOR
22015,BREHAND,COTES_D_ARMOR
22016,ILE-DE-BREHAT,COTES_D_ARMOR
22018,BRELIDY,COTES_D_ARMOR
22019,BRINGOLO,COTES_D_ARMOR
22020,BROONS,COTES_D_ARMOR
22021,BRUSVILY,COTES_D_ARMOR
22023,BULAT-PESTIVIEN,COTES_D_ARMOR
22024,CALANHEL,COTES_D_ARMOR
22025,CALLAC,COTES_D_ARMOR
22026,CALORGUEN,COTES_D_ARMOR
22027,LE CAMBOUT,COTES_D_ARMOR
22028,CAMLEZ,COTES_D_ARMOR
22029,CANIHUEL,COTES_D_ARMOR
22030,CAOUENNEC-LANVEZEAC,COTES_D_ARMOR
22031,CARNOET,COTES_D_ARMOR
22032,CAULNES,COTES_D_ARMOR
22033,CAUREL,COTES_D_ARMOR
22034,CAVAN,COTES_D_ARMOR
22035,LES CHAMPS-GERAUX,COTES_D_ARMOR
22036,LA CHAPELLE-BLANCHE,COTES_D_ARMOR
22037,LA CHAPELLE-NEUVE,COTES_D_ARMOR
22039,LA CHEZE,COTES_D_ARMOR
22040,COADOUT,COTES_D_ARMOR
22041,COATASCORN,COTES_D_ARMOR
22042,COATREVEN,COTES_D_ARMOR
22043,COETLOGON,COTES_D_ARMOR
22044,COETMIEUX,COTES_D_ARMOR
22045,COHINIAC,COTES_D_ARMOR
22046,LE MENE,COTES_D_ARMOR
22047,CORLAY,COTES_D_ARMOR
22048,CORSEUL,COTES_D_ARMOR
22049,CREHEN,COTES_D_ARMOR
22050,DINAN,COTES_D_ARMOR
22052,DUAULT,COTES_D_ARMOR
22053,EREAC,COTES_D_ARMOR
22054,ERQUY,COTES_D_ARMOR
22055,BINIC-ETABLES-SUR-MER,COTES_D_ARMOR
22056,EVRAN,COTES_D_ARMOR
22057,LE FAOUET,COTES_D_ARMOR
