Code gare,Nom gare,Fret,Voyageur,Commune
87159947,kuku,true,true,22001
87322347,cocacolacacacolé,true,true,22001
87334490,CESSON-SEVIGNE,false,true,22001
87334508,LA POTERIE,false,true,35238
87471003,RENNES,true,true,35238
87471029,VERN,false,true,35352
87471037,BRUZ,false,true,35047
87471045,BETTON,false,true,35024
87471052,ST-JACQUES-DE-LA-LANDE,true,true,35281
87471060,L'HERMITAGE-MORDELLES,true,true,35131
87471078,MONTFORT-SUR-MEU,false,true,35188
87471086,MONTAUBAN-DE-BRETAGNE,true,true,35184
87471094,LA BROHINIERE,true,true,35184
87471102,BRETEIL,false,true,35275
87471144,LAILLE,false,true,35126
87471151,GUICHEN-BOURG-DES-COMPTES,false,true,35126
87471169,ST-SENOUX-PLECHATEL,false,true,35312
87471177,PLECHATEL,false,true,35221
87471185,MESSAC-GUIPRY,false,true,35176
87471201,FOUGERAY-LANGON,false,true,35145
87471243,ST-MEEN,true,false,35297
87471300,REDON,true,true,35236
87471318,ST-ARMEL,false,true,35250
87471326,CORPS-NUDS,false,true,35088
87471334,JANZE,true,true,35136
87471342,LE THEIL-DE-BRETAGNE,false,true,35333
87471359,RETIERS,true,true,35239
87471367,MARTIGNE-FERCHAUD,false,true,35167
87471391,PONTCHAILLOU,false,true,35238
87471458,CHEVAIGNE,false,true,35079
87471508,VITRE,true,true,35360
87471516,LES LACS,true,true,35252
87471524,CHATEAUBOURG,false,true,35068
87471532,SERVON,false,true,35327
87471540,NOYAL-ACIGNE,false,true,35207
87471664,GERARD,true,false,35194
87473009,ST-BRIEUC,true,true,22278
87473041,LE LEGUE,true,false,22278
87473058,QUEDILLAC,false,true,35234
87473066,CAULNES,false,true,22032
87473074,BROONS,false,true,22020
87473082,PLENEE-JUGON,true,true,22185
87473090,PLESTAN,true,true,22193
87473108,LAMBALLE,true,true,22093
87473116,YFFINIAC,false,true,22389
87473124,LA MEAUGON,false,true,22144
87473132,PLOUVARA-PLERNEUF,false,true,22234
87473140,CHATELAUDREN-PLOUAGAT,true,true,22206
87473165,BELLE-ISLE-BEGARD,false,true,22135
87473181,PLOUARET-TREGOR,false,true,22207
87473199,PLOUNERIN,true,true,22227
87473207,GUINGAMP,true,true,22070
87473223,LANNION,false,true,22113
87473264,LANDEBIA,false,true,22096
87473272,PLANCOET,false,true,22172
87473322,PLAINTEL,true,false,22171
87473330,QUINTIN,true,false,22277
87473363,UZEL,true,false,22300
87473389,LOUDEAC,true,false,22136
87473504,CARHAIX,true,true,29024
87473512,MOUSTERU,false,true,22013
87473520,PONT-MELVEZ,false,true,22249
87473538,PLOUGONVER,false,true,22216
87473546,CALLAC,false,true,22025
87473553,LE PENITY,false,true,22052
87473561,CARNOET-LOCARN,true,true,22128
87473579,COAT-GUEGAN,false,true,22249
87473587,LES MAIS,false,true,22025
87473801,GOURLAND,false,true,22070
87473819,TREGONNEAU-SQUIFFIEC,false,true,22338
87473827,BRELIDY-PLOUEC,false,true,22212
87473835,PONTRIEUX-HALTE,false,true,22250
87473843,PONTRIEUX,false,true,22250
87473850,LANCERF,false,true,22233
87473868,PAIMPOL,false,true,22162
87473876,FRYNAUDOUR,false,true,22233
87474007,BREST,true,true,29019
87474015,DIRINON LOPERHET,true,true,29140
87474056,PONT-DE-BUIS LES QUIMERC'H,false,true,29302
87474080,QUEMENEVEN,true,false,29229
87474098,QUIMPER,true,true,29232
87474155,ROSPORDEN,true,true,29241
87474189,BANNALEC,true,true,29004
87474213,KERHUON,true,true,29235
87474221,LA FOREST,false,true,29056
87474239,LANDERNEAU,true,true,29103
87474262,LA ROCHE-MAURICE,false,true,29237
87474270,LANDIVISIAU,true,true,29105
87474296,GUIMILIAU,false,true,29074
87474312,ST-THEGONNEC,false,true,29266
87474320,PLEYBER-CHRIST,true,true,29163
87474338,MORLAIX,true,true,29151
87474379,LA BOISSIERE,true,false,29039
87474387,CONCARNEAU,true,false,29039
87474411,PLOUIGNEAU,false,true,29199
87474569,ST-POL-DE-LEON,false,true,29259
87474635,ROSCOFF,false,true,29239
87474791,CHATEAULIN,false,true,29026
87476002,LORIENT,true,true,56121
87476200,AURAY,true,true,56007
87476226,LANDAUL-MENDON,false,true,56096
87476234,LANDEVANT,false,true,56097
87476242,BRANDERION,false,true,56021
87476259,HENNEBONT,false,true,56083
87476267,LES SABLES-BLANCS,false,true,56168
87476275,L'ISTHME,false,true,56234
87476309,GESTEL,false,true,56063
87476317,QUIMPERLE,true,true,29233
87476408,BELZ-PLOEMEL,false,true,56161
87476416,PLOUHARNEL-CARNAC,false,true,56168
87476424,PENTHIEVRE,false,true,56234
87476432,KERHOSTIN,false,true,56234
87476440,ST-PIERRE-QUIBERON,false,true,56234
87476457,QUIBERON,false,true,56186
87476523,BAUD,true,false,56101
87476556,PONTIVY,true,false,56178
87476606,VANNES,true,true,56260
87476648,STE-ANNE,false,true,56176
87476671,QUESTEMBERT,true,true,56184
87476689,MALANSAC,false,true,56123
87478016,ST-GERMAIN-SUR-ILLE,false,true,35173
87478024,ST-MEDARD-SUR-ILLE,false,true,35296
87478032,MONTREUIL-SUR-ILLE,false,true,35195
87478040,DINGE,false,true,35094
87478057,COMBOURG,false,true,35085
87478065,BONNEMAIN,false,true,35029
87478073,DOL-DE-BRETAGNE,true,true,35095
87478081,LA FRESNAIS,false,true,35116
87478099,LA GOUESNIERE-CANCALE,false,true,35299
87478107,ST-MALO,true,true,35288
87478123,PLERGUER,false,true,35224
