ID,Nom,IDVoisin,NomVoisin
22002,ANDEL,22009,LE BODEO
22003,AUCALEUC,22048,CORSEUL
22003,AUCALEUC,22259,QUEVERT
22003,AUCALEUC,22364,TRELIVAN
22003,AUCALEUC,22388,VILDE-GUINGALAN
22004,BEGARD,22018,BRELIDY
22004,BEGARD,22041,COATASCORN
22004,BEGARD,22135,LOUARGAT
22004,BEGARD,22164,PEDERNEC
22004,BEGARD,22245,PLUZUNET
22004,BEGARD,22254,PRAT
22004,BEGARD,22310,SAINT-LAURENT
22005,BELLE-ISLE-EN-TERRE,22129,LOC-ENVEL
22005,BELLE-ISLE-EN-TERRE,22135,LOUARGAT
22005,BELLE-ISLE-EN-TERRE,22216,PLOUGONVER
22005,BELLE-ISLE-EN-TERRE,22228,PLOUNEVEZ-MOEDEC
22005,BELLE-ISLE-EN-TERRE,22359,TREGROM
22006,BERHET,22034,CAVAN
22006,BERHET,22101,LANGOAT
22006,BERHET,22141,MANTALLOT
22006,BERHET,22254,PRAT
22008,BOBITAL,22021,BRUSVILY
22008,BOBITAL,22082,LE HINGLE
22008,BOBITAL,22280,SAINT-CARNE
22008,BOBITAL,22364,TRELIVAN
22008,BOBITAL,22380,TREVRON
22009,LE BODEO,22001,ALLINEUC
22009,LE BODEO,22073,LA HARMOYE
22009,LE BODEO,22099,LANFAINS
22009,LE BODEO,22149,MERLEAC
22009,LE BODEO,22203,PLŒUC-L'HERMITAGE
22009,LE BODEO,22313,SAINT-MARTIN-DES-PRES
22011,BOQUEHO,22045,COHINIAC
22011,BOQUEHO,22116,LANRODEC
22011,BOQUEHO,22126,LE LESLAY
22011,BOQUEHO,22206,CHATELAUDREN-PLOUAGAT
22011,BOQUEHO,22234,PLOUVARA
22011,BOQUEHO,22289,SAINT-FIACRE
22011,BOQUEHO,22291,SAINT-GILDAS
22012,LA BOUILLIE,22054,ERQUY
22012,LA BOUILLIE,22076,HENANBIHEN
22012,LA BOUILLIE,22077,HENANSAL
22012,LA BOUILLIE,22242,PLURIEN
22012,LA BOUILLIE,22273,SAINT-ALBAN
22013,BOURBRIAC,22040,COADOUT
22013,BOURBRIAC,22072,GURUNHUEL
22013,BOURBRIAC,22088,KERIEN
22013,BOURBRIAC,22138,MAEL-PESTIVIEN
22013,BOURBRIAC,22139,MAGOAR
22013,BOURBRIAC,22156,MOUSTERU
22013,BOURBRIAC,22189,PLESIDY
22013,BOURBRIAC,22249,PONT-MELVEZ
22013,BOURBRIAC,22271,SAINT-ADRIEN
22014,BOURSEUL,22048,CORSEUL
22014,BOURSEUL,22084,JUGON-LES-LACS - COMMUNE NOUVELLE
22014,BOURSEUL,22172,PLANCOET
22014,BOURSEUL,22205,PLOREC-SUR-ARGUENON
22014,BOURSEUL,22237,PLUDUNO
22014,BOURSEUL,22317,SAINT-MELOIR-DES-BOIS
22015,BREHAND,22079,HENON
22015,BREHAND,22093,LAMBALLE-ARMOR
22015,BREHAND,22098,LANDEHEN
22015,BREHAND,22258,QUESSOY
22015,BREHAND,22332,SAINT-TRIMOEL
22015,BREHAND,22345,TREBRY
22015,BREHAND,22346,TREDANIEL
22018,BRELIDY,22004,BEGARD
22018,BRELIDY,22041,COATASCORN
22018,BRELIDY,22095,LANDEBAERON
22018,BRELIDY,22212,PLOUEC-DU-TRIEUX
22018,BRELIDY,22269,RUNAN
22018,BRELIDY,22310,SAINT-LAURENT
22019,BRINGOLO,22065,GOUDELIN
22019,BRINGOLO,22150,LE MERZER
22019,BRINGOLO,22182,PLELO
22019,BRINGOLO,22206,CHATELAUDREN-PLOUAGAT
22019,BRINGOLO,22304,SAINT-JEAN-KERDANIEL
22019,BRINGOLO,22375,TRESSIGNAUX
22020,BROONS,22032,CAULNES
22020,BROONS,22240,PLUMAUGAT
22020,BROONS,22337,SEVIGNAC
22020,BROONS,22348,TREDIAS
22020,BROONS,22369,TREMEUR
22020,BROONS,22391,YVIGNAC-LA-TOUR
22021,BRUSVILY,22008,BOBITAL
22021,BRUSVILY,22082,LE HINGLE
22021,BRUSVILY,22239,PLUMAUDAN
22021,BRUSVILY,22342,TREBEDAN
22021,BRUSVILY,22364,TRELIVAN
22021,BRUSVILY,22380,TREVRON
22021,BRUSVILY,22391,YVIGNAC-LA-TOUR
22023,BULAT-PESTIVIEN,22025,CALLAC
22023,BULAT-PESTIVIEN,22138,MAEL-PESTIVIEN
22023,BULAT-PESTIVIEN,22216,PLOUGONVER
22023,BULAT-PESTIVIEN,22249,PONT-MELVEZ
22023,BULAT-PESTIVIEN,22328,SAINT-SERVAIS
22024,CALANHEL,22025,CALLAC
22024,CALANHEL,22037,LA CHAPELLE-NEUVE
22024,CALANHEL,22132,LOHUEC
22024,CALANHEL,22231,PLOURAC'H
22024,CALANHEL,22243,PLUSQUELLEC
22025,CALLAC,22023,BULAT-PESTIVIEN
22025,CALLAC,22024,CALANHEL
22025,CALLAC,22037,LA CHAPELLE-NEUVE
22025,CALLAC,22052,DUAULT
22025,CALLAC,22216,PLOUGONVER
22025,CALLAC,22243,PLUSQUELLEC
22025,CALLAC,22328,SAINT-SERVAIS
22026,CALORGUEN,22035,LES CHAMPS-GERAUX
22026,CALORGUEN,22056,EVRAN
22026,CALORGUEN,22118,LANVALLAY
22026,CALORGUEN,22274,SAINT-ANDRE-DES-EAUX
22026,CALORGUEN,22280,SAINT-CARNE
22026,CALORGUEN,22308,SAINT-JUVAT
22026,CALORGUEN,22380,TREVRON
22027,LE CAMBOUT,22241,PLUMIEUX
22027,LE CAMBOUT,22288,SAINT-ETIENNE-DU-GUE-DE-L'ISLE
22027,LE CAMBOUT,56024,BREHAN
22027,LE CAMBOUT,56102,FORGES DE LANOUEE
22028,CAMLEZ,22042,COATREVEN
22028,CAMLEZ,22090,KERMARIA-SULARD
22028,CAMLEZ,22152,MINIHY-TREGUIER
22028,CAMLEZ,22166,PENVENAN
22028,CAMLEZ,22221,PLOUGUIEL
22028,CAMLEZ,22363,TRELEVERN
22028,CAMLEZ,22379,TREVOU-TREGUIGNEC
22029,CANIHUEL,22047,CORLAY
22029,CANIHUEL,22074,LE HAUT-CORLAY
22029,CANIHUEL,22092,KERPERT
22029,CANIHUEL,22244,PLUSSULIEN
22029,CANIHUEL,22294,SAINT-GILLES-PLIGEAUX
22029,CANIHUEL,22321,SAINT-NICOLAS-DU-PELEM
22029,CANIHUEL,22334,SAINT-IGEAUX
22029,CANIHUEL,22386,LE VIEUX-BOURG
22030,CAOUENNEC-LANVEZEAC,22034,CAVAN
22030,CAOUENNEC-LANVEZEAC,22113,LANNION
22030,CAOUENNEC-LANVEZEAC,22257,QUEMPERVEN
